x,y,z
612685.148272,4057503.19524,-51.4257789059
612685.148272,4057741.3054,-54.7751513868
612685.148272,4057979.41556,-58.795361447
610885.148272,4057979.41556,-36.7012731443
610885.148272,4058217.52571,-35.5874707578
610285.148272,4058455.63587,-30.33518472
610285.148272,4058693.74603,-30.1889207845
608485.148272,4059884.29682,-45.1477191121
608485.148272,4060122.40698,-48.9023238537
608485.148272,4060360.51713,-52.0082881415
613285.148272,4056074.53429,-27.4898531585
613285.148272,4056312.64445,-37.3297927918
613285.148272,4056550.75461,-46.2835931503
607885.148272,4062741.61871,-72.2837959189
607885.148272,4062979.72887,-73.8339261262
607885.148272,4063217.83903,-75.101960106
609085.148272,4064408.38982,-51.7733326576
609085.148272,4064646.49997,-51.0663994366
610285.148272,4062265.3984,-45.9128374685
610285.148272,4062503.50855,-44.6133583579
610285.148272,4062741.61871,-43.7563609756
607885.148272,4061312.95777,-56.7743018034
607885.148272,4061551.06792,-59.1417676632
607885.148272,4061789.17808,-62.0544690809
610585.148272,4061789.17808,-48.6652925643
610885.148272,4061789.17808,-48.657558759
611185.148272,4061789.17808,-49.4007927009
610585.148272,4057979.41556,-33.700309804
611785.148272,4057026.97493,-37.7259851742
612085.148272,4057026.97493,-39.4501438818
612385.148272,4057026.97493,-42.4841347819
608185.148272,4060836.73745,-52.6321804249
608485.148272,4060836.73745,-52.8752844497
608785.148272,4060836.73745,-54.8314001744
609985.148272,4060360.51713,-53.1710885841
609685.148272,4065122.72029,-43.7466993323
609385.148272,4065122.72029,-46.622360552
610885.148272,4059408.0765,-46.3868821093
611185.148272,4059408.0765,-48.9727938705
608485.148272,4063694.05934,-66.4522524007
608185.148272,4063694.05934,-71.7006184732
608785.148272,4063694.05934,-60.8962016901
609085.148272,4060836.73745,-56.2865782093
609385.148272,4060836.73745,-55.6662874434
613885.148272,4057026.97493,-56.1791854733
613585.148272,4057026.97493,-58.2546082553
611485.148272,4058931.85619,-48.4052316049
611785.148272,4058931.85619,-53.6163486306
609985.148272,4058455.63587,-33.7349105358
611185.148272,4057503.19524,-38.7024699889
611485.148272,4057503.19524,-41.8824906624
608185.148272,4059884.29682,-45.8025885408
608185.148272,4060360.51713,-50.9011627393
612985.148272,4056074.53429,-29.1900904261
612985.148272,4056550.75461,-43.9628939894
607585.148272,4062741.61871,-75.9793718472
612985.148272,4057503.19524,-58.5451602415
612985.148272,4057979.41556,-64.0881903779
608785.148272,4064170.27966,-59.3348086466
608785.148272,4064646.49997,-56.7318329232
609985.148272,4062265.3984,-47.8430761606
609985.148272,4062741.61871,-46.2362664143
607585.148272,4061312.95777,-60.2915572125
607585.148272,4061789.17808,-65.8447727817
609385.148272,4063694.05934,-50.6251143898
609985.148272,4063694.05934,-43.8619140716
606985.148272,4062741.61871,-78.449625492
606385.148272,4062741.61871,-78.9520371695
608785.148272,4062265.3984,-56.6687609611
608185.148272,4062265.3984,-63.7375045135
607585.148272,4064646.49997,-67.5408774934
612385.148272,4058931.85619,-62.7970095018
611185.148272,4063694.05934,-39.8798544401
610585.148272,4063694.05934,-40.4397253316
610585.148272,4059884.29682,-52.0668970784
611185.148272,4059884.29682,-53.8337423961
614185.148272,4057503.19524,-71.4887782681
613585.148272,4057503.19524,-67.8379371519
609985.148272,4057979.41556,-31.9729552945
610585.148272,4061312.95777,-52.3069840612
611185.148272,4061312.95777,-53.3619997299
610585.148272,4057503.19524,-33.0799207695
611785.148272,4056550.75461,-31.7090903125
612385.148272,4056550.75461,-36.9185106883
609985.148272,4060836.73745,-54.1208997598
608185.148272,4064170.27966,-69.721854838
609385.148272,4061312.95777,-53.55521013
611785.148272,4059408.0765,-56.1905204272
611185.148272,4057026.97493,-33.941057642
612985.148272,4055598.31398,-14.1294695181
612985.148272,4057026.97493,-53.1362555604
607585.148272,4062265.3984,-71.6080417042
612985.148272,4058455.63587,-68.6547521938
608785.148272,4065122.72029,-54.3986325705
609985.148272,4061789.17808,-50.2478359158
609985.148272,4063217.83903,-45.184573754
607585.148272,4060836.73745,-56.0346725462
609385.148272,4062741.61871,-51.9692213053
609385.148272,4063217.83903,-51.8079578547
610585.148272,4064170.27966,-39.7957466678
609385.148272,4061789.17808,-52.1713211914
608185.148272,4064646.49997,-66.4479627854
610585.148272,4060360.51713,-56.0550591959
610585.148272,4060836.73745,-55.3522343477
609385.148272,4062265.3984,-52.6399123791
611785.148272,4059884.29682,-60.3072862048
610585.148272,4057026.97493,-31.6556773014
607585.148272,4059884.29682,-47.8886927571
607585.148272,4060360.51713,-52.5469671587
612385.148272,4056074.53429,-29.030088344
613585.148272,4057979.41556,-75.2593346352
606985.148272,4060836.73745,-60.49114896
606985.148272,4061312.95777,-66.0357236182
606985.148272,4061789.17808,-71.7392177559
611185.148272,4060836.73745,-56.7187522848
611785.148272,4060836.73745,-59.4057869039
611785.148272,4061312.95777,-56.7258177586
609985.148272,4061312.95777,-53.412454679
609985.148272,4057026.97493,-28.0306618332
609985.148272,4057503.19524,-32.8538156006
611785.148272,4056074.53429,-25.2118364302
611185.148272,4056074.53429,-22.0969122746
611185.148272,4056550.75461,-29.3258114012
612385.148272,4059408.0765,-65.3736647266
612385.148272,4055598.31398,-17.3971889613
606985.148272,4062265.3984,-76.8224833772
608185.148272,4065122.72029,-61.6851219939
606385.148272,4061789.17808,-74.035107786
606985.148272,4059884.29682,-49.8995766494
610585.148272,4056074.53429,-19.2832899527
605785.148272,4059884.29682,-59.6629937533
609706.379585,4057026.97493,-26.6525111545
609791.089166,4056718.9253,-23.5829874986
609623.207722,4057790.46765,-33.614935242
609670.580587,4057253.5227,-28.7700046477
609542.789682,4058931.85619,-40.0435625939
609562.320595,4058736.8794,-38.3947744053
609503.845839,4059075.75602,-40.87903616
609846.973437,4058089.085,-32.6765031281
609783.255174,4057979.41556,-32.6939127829
609856.087617,4058455.63587,-34.0130530035
610050.658712,4056074.53429,-17.0544095715
610585.148272,4055528.88675,-10.5673419409
610748.469902,4055381.35059,-8.9765360739
611784.943456,4055122.41879,-5.95960798158
609385.148272,4059247.88274,-41.2655656225
609445.613892,4059169.96635,-41.8503261617
611785.148272,4055122.33162,-5.95890875055
611785.445614,4055122.32966,-5.95976831829
612385.148272,4055219.23887,-8.14445125136
612678.122065,4055365.78053,-10.8516116599
612985.148272,4055543.77959,-12.9685856531
612631.302513,4059136.04501,-67.6391110766
612491.814578,4059323.4154,-66.5350871664
612432.134991,4059396.01609,-65.8920657053
612900.670894,4058931.85619,-70.6240851148
612985.148272,4058882.90286,-71.572403497
613017.572432,4055572.57891,-13.4186299755
613031.104206,4055598.31398,-13.6124767466
613396.343273,4055898.02323,-20.0359949646
613516.193983,4056074.53429,-22.9319103134
613545.295326,4056106.1656,-23.6649836027
613585.148272,4056124.16691,-24.6486477332
613687.520653,4056231.39144,-27.8408736485
613753.204924,4056312.64445,-30.300368863
613797.739758,4056382.02064,-32.1429692301
613885.148272,4056538.79737,-36.600848927
613895.265643,4056550.75461,-37.1048606269
614019.527717,4056813.66085,-46.6142382108
613891.424629,4056545.77306,-36.8951377167
614145.567749,4057026.97493,-55.5512837937
613369.615507,4058615.52202,-75.8539113271
613486.592016,4058455.63587,-76.6203068595
613406.241369,4058590.05026,-76.2617846201
613543.929855,4058347.23212,-76.8649483374
613585.148272,4058269.30398,-77.0408136049
613786.52446,4057979.41556,-77.302435583
614132.155759,4057689.54216,-74.8085964909
614185.148272,4057645.0985,-74.4262387499
614185.148272,4057223.57779,-62.0748868664
614213.115887,4057625.58081,-74.2924452393
614258.014271,4057503.19524,-72.1928311331
614243.337077,4057457.01076,-70.4070548514
605588.261997,4059902.78361,-59.5497781811
605582.099734,4059884.29682,-59.3112408542
605527.546539,4059720.63724,-57.0361983808
605549.917951,4059699.80507,-56.7973939805
605560.02508,4059690.39335,-56.6895050761
605540.140858,4059708.90946,-56.9017598903
605534.097679,4059714.53684,-56.9662680185
605624.580612,4060011.73945,-60.9556489507
605693.37939,4060218.13579,-61.666818097
605698.360444,4060233.07895,-61.7183069766
605785.148272,4059480.75955,-54.2864198115
605698.844148,4060234.53006,-61.7233070037
605721.438712,4060302.31375,-61.9568657517
605723.56538,4060308.69376,-61.9788490074
605725.096733,4060315.22753,-62.004079996
605743.85708,4060395.27168,-62.3131807511
605785.148272,4060571.44743,-62.9935060491
605821.135036,4060724.99096,-63.4449128485
605831.361977,4060768.62591,-63.5731964287
605825.345433,4060742.95532,-63.4977267629
605824.403601,4060738.93683,-63.4859127182
605837.573326,4060795.12766,-63.6511096519
605831.526284,4060769.32695,-63.5752574381
605841.996059,4060813.99799,-63.8469945611
605847.325621,4060836.73745,-64.0830432565
605842.271748,4060815.17426,-63.8592049394
605848.688435,4060842.55213,-64.1464406522
605848.852276,4060843.25118,-64.1540624531
605849.860088,4060847.55118,-64.2009452976
605849.885031,4060847.6576,-64.2021056395
605850.605406,4060850.7312,-64.2356170931
606233.842323,4059528.16812,-52.1402411049
606488.121722,4059605.32162,-50.910248313
606985.148272,4059747.42883,-48.4114458632
607281.368921,4059649.18633,-46.4931078116
607585.148272,4059618.57011,-45.1606868976
605884.61671,4060995.8461,-65.9090201179
605884.164218,4060993.91547,-65.8892889104
605853.701917,4060863.94298,-64.3796651434
605886.219706,4061002.68555,-65.9789197647
605891.70065,4061026.07091,-66.217919907
605915.404087,4061127.20558,-67.2515236392
605927.781168,4061180.01445,-67.7912342312
605940.817409,4061235.63575,-68.3596879792
605945.802198,4061256.90418,-68.5770529348
605944.488726,4061251.30003,-68.5197781153
605950.04778,4061275.01866,-68.7621842855
605947.635093,4061264.72453,-68.6569775242
605945.915504,4061257.38762,-68.5819937127
605964.579712,4061337.02158,-69.3958586062
605950.250276,4061275.88264,-68.7710142352
605965.701951,4061341.8098,-69.4447945674
605975.463429,4061383.45877,-69.8704501337
605976.163254,4061386.44469,-69.9009664529
605976.183976,4061386.5331,-69.901870053
605976.185321,4061386.53884,-69.9019287014
605976.204681,4061386.62144,-69.9027728916
605977.410528,4061391.76639,-69.9553546414
605995.766683,4061470.08598,-70.755786636
606012.538378,4061541.64521,-71.4871272655
606025.164854,4061595.51818,-72.0377129489
606025.7891,4061598.18163,-72.0649336066
606026.053451,4061599.30953,-72.0764607787
606031.622756,4061623.0719,-72.3193139547
606044.402155,4061677.59733,-72.8765679192
606056.212035,4061727.98615,-73.3915453846
606056.728728,4061730.19071,-73.4140760835
606057.294105,4061732.60298,-73.4387297176
606070.553894,4061789.17808,-74.0169313995
606063.778488,4061760.26968,-73.7214854468
607928.54319,4059611.74409,-43.7069301762
608185.148272,4059493.65509,-41.5202158172
608236.504583,4059489.59956,-41.3636519544
608420.61784,4059510.51218,-40.5639696552
608437.588922,4059508.25764,-40.4347456953
608485.148272,4059492.75211,-40.1655210403
608552.301993,4059461.37645,-39.7187789994
608785.148272,4059463.99634,-38.9522715402
609013.314083,4059465.09134,-38.748681392
609085.148272,4059451.45701,-38.2644836411
609148.716494,4059408.0765,-39.0395288824
612049.264573,4060122.40698,-62.4976275014
612044.521524,4060154.65245,-62.4237248122
611985.778681,4060360.51713,-61.6915846438
612085.148272,4060042.31655,-62.9016413349
612264.413029,4059646.18666,-64.4801045299
612202.423562,4059791.21536,-64.0414777222
612151.948731,4059884.29682,-63.6621938004
612385.148272,4059460.21646,-65.4198099909
612408.576954,4059426.67186,-65.6387757595
612415.629963,4059417.05939,-65.7144909519
612422.221031,4059408.0765,-65.7852471174
611864.550378,4060899.75894,-59.5347684624
611813.459253,4061268.01688,-57.1511691701
611873.995071,4060836.73745,-59.9902763261
611919.075452,4060598.62729,-60.8561147023
611917.898467,4060626.00965,-60.8194316989
611909.45623,4060738.07416,-60.4765464661
611969.702646,4060452.14639,-61.4578181734
611800.742558,4061312.95777,-56.8208029425
611798.791277,4061323.78623,-56.712188993
606077.118864,4061817.18862,-74.1321576246
606077.34674,4061818.16089,-74.1361572312
606099.326329,4061911.94047,-74.5219358231
606099.66006,4061913.36439,-74.5277933542
606100.138576,4061915.40606,-74.5361921105
606100.131953,4061915.3778,-74.5360758755
606100.300533,4061916.09708,-74.539034727
606100.634541,4061917.52218,-74.5448971196
606100.630084,4061917.50316,-74.5448189063
606101.250412,4061920.14989,-74.5557067009
606102.508382,4061925.51723,-74.5777861759
606102.524331,4061925.58528,-74.5780661124
606102.777659,4061926.66615,-74.5825124299
606123.951528,4062017.00799,-74.9541492969
606126.176874,4062026.5028,-74.993207843
606133.86949,4062059.32463,-75.1282261254
606133.976471,4062059.78108,-75.1301038319
606148.147402,4062120.24372,-75.3788273833
606148.383038,4062121.2491,-75.3829631933
606148.401362,4062121.32728,-75.3832848086
606149.508205,4062126.04981,-75.4027117606
606155.859953,4062153.1506,-75.5141955712
606156.325932,4062155.13878,-75.5252721712
606167.121194,4062201.19856,-75.7818816717
606167.378889,4062202.29806,-75.7880072439
606181.155173,4062261.07687,-76.1154773366
606171.917319,4062221.66203,-75.8958883055
606190.17816,4062299.57495,-76.3299588859
