x,y,z
611785.148272,4058455.63587,-31.664607512
610585.148272,4062265.3984,-30.0646480332
608185.148272,4061312.95777,-36.8448095942
608185.148272,4062741.61871,-50.3059499131
608485.148272,4062741.61871,-47.9287685227
608785.148272,4059884.29682,-32.482744403
611485.148272,4058455.63587,-28.1538845086
611185.148272,4058455.63587,-26.0834955775
610285.148272,4063217.83903,-23.4693612895
609985.148272,4063217.83903,-29.1270394381
609985.148272,4058931.85619,-30.2461055439
610285.148272,4058931.85619,-27.3877709561
611485.148272,4063217.83903,-41.4464392585
611785.148272,4060836.73745,-53.9604617262
609685.148272,4064170.27966,-42.6634936476
610885.148272,4058931.85619,-27.8848814575
610585.148272,4058931.85619,-26.9930690578
611785.148272,4059408.0765,-45.0811070656
612085.148272,4059408.0765,-53.9878191083
612685.148272,4057979.41556,-27.5299235647
612385.148272,4057979.41556,-22.7497082269
611485.148272,4061789.17808,-38.3964447692
611185.148272,4061789.17808,-38.4764624586
609685.148272,4058931.85619,-36.3519696476
609385.148272,4060360.51713,-27.2584497343
609985.148272,4064170.27966,-35.395282917
610885.148272,4062741.61871,-19.8668770591
608785.148272,4061789.17808,-39.5122077811
608485.148272,4061789.17808,-41.174251108
607885.148272,4064170.27966,-59.9092633756
608185.148272,4064170.27966,-58.2254855587
610585.148272,4062503.50855,-24.5984498294
610585.148272,4062741.61871,-20.6832288428
608185.148272,4061551.06792,-40.2193860198
608185.148272,4061789.17808,-42.5351054064
607585.148272,4064170.27966,-61.1347596589
607585.148272,4064408.38982,-61.8783485517
607585.148272,4064646.49997,-62.443757352
608785.148272,4064170.27966,-54.3058572807
608785.148272,4064408.38982,-52.4457940003
608785.148272,4064646.49997,-50.37176731
608785.148272,4059646.18666,-35.2006871542
612385.148272,4058217.52571,-32.3996747324
612385.148272,4058455.63587,-40.4714945543
611185.148272,4062027.28824,-38.0367301016
608785.148272,4060836.73745,-34.4099624229
608785.148272,4061074.84761,-35.3853060656
608785.148272,4062741.61871,-44.6188976067
608785.148272,4062979.72887,-46.5062477224
608785.148272,4063217.83903,-48.4637190592
610585.148272,4062979.72887,-18.9895074595
610585.148272,4063217.83903,-19.6386094836
610585.148272,4059169.96635,-26.2794956768
610585.148272,4059408.0765,-25.7361213624
612385.148272,4059408.0765,-64.3683975106
609985.148272,4059646.18666,-24.1690639554
609985.148272,4059884.29682,-24.0282584253
611785.148272,4058693.74603,-35.7308563545
611785.148272,4058931.85619,-39.3202126451
612985.148272,4057503.19524,-22.3169116989
612985.148272,4057741.3054,-28.5708774897
612985.148272,4057979.41556,-36.996205442
609685.148272,4060122.40698,-24.8909583189
609685.148272,4060360.51713,-25.947203211
611485.148272,4062503.50855,-44.2203050583
608485.148272,4064170.27966,-56.04508384
608485.148272,4064408.38982,-55.5906545331
608485.148272,4064646.49997,-54.7951312084
610285.148272,4064170.27966,-33.4223762017
610285.148272,4064408.38982,-35.8307272641
610285.148272,4064646.49997,-38.6387490607
609085.148272,4061312.95777,-35.4563345079
609085.148272,4061551.06792,-36.4985603194
609085.148272,4061789.17808,-37.3334201548
610885.148272,4057979.41556,-21.3654860498
610885.148272,4058217.52571,-23.6519626281
610885.148272,4062979.72887,-18.1311938878
610885.148272,4063217.83903,-19.5926849158
612085.148272,4057503.19524,-9.35115406652
612085.148272,4057741.3054,-14.7287502159
610885.148272,4061312.95777,-34.937651378
610885.148272,4061551.06792,-39.1665782065
610285.148272,4058455.63587,-28.634791225
610285.148272,4058693.74603,-28.521666784
608485.148272,4059884.29682,-36.2059780106
608485.148272,4060122.40698,-35.4530674635
608485.148272,4060360.51713,-35.324853528
613285.148272,4056074.53429,-17.592994678
613285.148272,4056312.64445,-18.0492515601
613285.148272,4056550.75461,-19.2506697602
609685.148272,4062741.61871,-32.9624925744
609685.148272,4062979.72887,-33.5635654141
609685.148272,4063217.83903,-34.4954416079
610285.148272,4061789.17808,-34.930125711
610285.148272,4062027.28824,-33.1754875125
610285.148272,4062265.3984,-29.9246502034
611485.148272,4059884.29682,-40.2275097765
611485.148272,4060122.40698,-40.8077250326
611485.148272,4060360.51713,-40.874855929
607885.148272,4062741.61871,-51.8261707908
607885.148272,4062979.72887,-53.8360279561
607885.148272,4063217.83903,-55.5499072455
607885.148272,4060836.73745,-37.9823528205
607885.148272,4061074.84761,-38.1284462971
607885.148272,4061312.95777,-39.9482093164
611485.148272,4060598.62729,-40.4520117884
611485.148272,4060836.73745,-39.1307940396
611485.148272,4059408.0765,-37.8191995967
611485.148272,4059646.18666,-39.1844832465
610585.148272,4057979.41556,-23.6484310192
